,ID,Label
0,25000,1
1,25001,0
2,25002,0
3,25003,0
4,25004,1
5,25005,0
6,25006,0
7,25007,1
8,25008,1
9,25009,1
10,25010,1
11,25011,0
12,25012,1
13,25013,0
14,25014,0
15,25015,0
16,25016,1
17,25017,0
18,25018,0
19,25019,1
20,25020,0
21,25021,0
22,25022,0
23,25023,0
24,25024,0
25,25025,1
26,25026,0
27,25027,0
28,25028,0
29,25029,0
30,25030,1
31,25031,1
32,25032,1
33,25033,0
34,25034,1
35,25035,1
36,25036,0
37,25037,0
38,25038,0
39,25039,1
40,25040,1
41,25041,1
42,25042,1
43,25043,1
44,25044,0
45,25045,1
46,25046,0
47,25047,0
48,25048,1
49,25049,1
50,25050,1
51,25051,0
52,25052,1
53,25053,0
54,25054,0
55,25055,0
56,25056,1
57,25057,1
58,25058,0
59,25059,1
60,25060,0
61,25061,0
62,25062,0
63,25063,0
64,25064,1
65,25065,0
66,25066,1
67,25067,0
68,25068,0
69,25069,0
70,25070,1
71,25071,0
72,25072,0
73,25073,0
74,25074,0
75,25075,0
76,25076,0
77,25077,1
78,25078,1
79,25079,0
80,25080,1
81,25081,0
82,25082,0
83,25083,0
84,25084,0
85,25085,0
86,25086,0
87,25087,0
88,25088,0
89,25089,1
90,25090,1
91,25091,1
92,25092,0
93,25093,1
94,25094,1
95,25095,0
96,25096,0
97,25097,0
98,25098,1
99,25099,1
100,25100,0
101,25101,0
102,25102,0
103,25103,1
104,25104,0
105,25105,0
106,25106,1
107,25107,0
108,25108,0
109,25109,1
110,25110,1
111,25111,0
112,25112,1
113,25113,1
114,25114,0
115,25115,1
116,25116,1
117,25117,0
118,25118,1
119,25119,1
120,25120,1
121,25121,1
122,25122,0
123,25123,1
124,25124,0
125,25125,1
126,25126,0
127,25127,0
128,25128,0
129,25129,1
130,25130,0
131,25131,1
132,25132,0
133,25133,1
134,25134,0
135,25135,1
136,25136,0
137,25137,0
138,25138,0
139,25139,0
140,25140,1
141,25141,1
142,25142,0
143,25143,0
144,25144,1
145,25145,1
146,25146,0
147,25147,0
148,25148,0
149,25149,1
150,25150,0
151,25151,1
152,25152,1
